"yearID","lgID","salary","POS","GS","PO","A","E","DP","AB","R","H","X2B","X3B","HR","RBI","BB","SO","IBB","HBP","SH","SF","GIDP"
2010,"AL",9000001,"OF",135,243,8,7,3,574,89,147,42,2,21,79,88,133,4,3,1,6,14
2011,"AL",9000001,"OF",29,30,3,2,1,503,55,128,31,2,9,61,79,114,6,2,2,4,9
2012,"AL",9000001,"OF",8,12,1,1,1,25,2,6,4,1,1,6,3,6,1,1,1,2,2
2014,"AL",7000001,"1B",110,971,70,7,106,557,81,177,36,3,37,108,52,132,16,12,1,5,15
2015,"AL",8666001,"1B",116,953,61,12,101,614,89,179,35,4,31,102,40,141,12,16,1,2,17
2016,"AL",11666668,"1B",153,1244,85,11,132,625,68,184,33,2,26,101,48,126,8,16,1,10,22
2010,"NL",407001,"2B",12,17,19,4,4,194,17,46,12,2,2,14,5,48,1,1,1,5,9
2010,"NL",407001,"SS",14,17,34,7,13,194,17,46,12,2,2,14,5,48,1,1,1,5,9
2010,"NL",407001,"3B",15,12,34,2,2,194,17,46,12,2,2,14,5,48,1,1,1,5,9
2013,"NL",498001,"3B",2,1,3,1,1,139,22,38,13,4,3,15,7,34,2,2,2,2,6
2013,"NL",498001,"SS",3,3,8,2,1,139,22,38,13,4,3,15,7,34,2,2,2,2,6
2013,"NL",498001,"2B",23,46,58,3,16,139,22,38,13,4,3,15,7,34,2,2,2,2,6
2014,"NL",745001,"3B",1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2
2014,"NL",745001,"2B",1,3,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2
2006,"NL",330001,"P",1,3,7,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,1
2007,"AL",392201,"P",1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,"AL",392201,"P",1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,"AL",1080001,"P",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,"AL",1080001,"P",1,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,"AL",435651,"P",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"AL",1200001,"P",1,10,13,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,"AL",2650001,"P",7,3,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2002,"NL",233001,"P",6,3,2,1,1,8,2,2,2,1,1,3,2,7,1,1,3,1,1
2004,"NL",340001,"P",28,5,19,1,1,44,1,3,1,1,1,2,4,27,1,1,6,2,2
1995,"NL",109001,"P",12,7,8,2,1,19,1,2,1,1,1,1,2,7,1,1,1,1,3
1998,"NL",200001,"P",10,7,19,2,1,18,3,4,2,1,1,1,2,6,1,1,3,1,1
1999,"NL",475001,"P",13,6,8,3,1,21,1,2,1,1,1,1,1,17,1,1,3,1,1
2000,"NL",612501,"P",1,9,9,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1
2002,"AL",850001,"P",1,5,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003,"AL",900001,"P",1,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1985,"AL",170001,"P",1,11,17,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1986,"NL",367501,"P",15,8,18,1,3,29,2,4,2,1,1,1,1,22,1,1,1,1,1
1987,"NL",350001,"P",1,7,24,1,3,15,2,4,1,1,1,2,2,9,1,1,1,1,1
1988,"NL",435001,"P",2,4,8,1,1,6,1,3,1,1,1,1,2,2,1,1,1,1,1
1989,"NL",688001,"P",1,13,15,1,1,8,1,2,1,1,1,1,1,3,1,1,1,1,2
1990,"AL",700001,"P",1,6,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,"AL",275001,"P",1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"AL",2100001,"1B",6,52,5,2,6,608,85,138,23,3,13,51,60,125,8,1,2,2,4
2012,"AL",2100001,"2B",143,239,395,8,92,608,85,138,23,3,13,51,60,125,8,1,2,2,4
2013,"AL",2700001,"1B",1,12,2,1,1,385,41,98,19,3,5,32,38,73,2,2,5,2,7
2013,"AL",2700001,"2B",50,82,151,1,31,385,41,98,19,3,5,32,38,73,2,2,5,2,7
2013,"AL",2700001,"OF",55,135,2,2,2,385,41,98,19,3,5,32,38,73,2,2,5,2,7
2014,"AL",1700001,"OF",128,246,5,3,3,503,65,124,28,5,15,66,33,91,2,4,4,3,11
2015,"AL",2600001,"OF",53,100,3,1,2,187,23,41,9,2,7,20,15,39,1,2,4,4,4
2015,"AL",2600001,"2B",2,4,5,1,1,187,23,41,9,2,7,20,15,39,1,2,4,4,4
2016,"AL",3200001,"1B",11,81,8,1,8,62,7,10,1,1,1,5,9,10,1,1,1,2,1
2016,"AL",3200001,"2B",1,1,1,1,1,62,7,10,1,1,1,5,9,10,1,1,1,2,1
2016,"AL",3200001,"OF",7,10,2,1,2,62,7,10,1,1,1,5,9,10,1,1,1,2,1
2008,"NL",392501,"P",1,8,14,3,4,6,1,1,1,1,1,1,1,4,1,1,1,1,1
2012,"NL",875001,"P",1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1994,"AL",109001,"P",1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1995,"AL",120001,"P",1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,"AL",140001,"P",1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,"AL",165001,"P",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
